"","admit","gre","gpa","rank"
"1",0,380,3.61,3
"2",1,660,3.67,3
"3",1,800,4,1
"4",1,640,3.19,4
"5",0,520,2.93,4
"6",1,760,3,2
"7",1,560,2.98,1
"8",0,400,3.08,2
"9",1,540,3.39,3
"10",0,700,3.92,2
"11",0,800,4,4
"12",0,440,3.22,1
"13",1,760,4,1
"14",0,700,3.08,2
"15",1,700,4,1
"16",0,480,3.44,3
"17",0,780,3.87,4
"18",0,360,2.56,3
"19",0,800,3.75,2
"20",1,540,3.81,1
"21",0,500,3.17,3
"22",1,660,3.63,2
"23",0,600,2.82,4
"24",0,680,3.19,4
"25",1,760,3.35,2
"26",1,800,3.66,1
"27",1,620,3.61,1
"28",1,520,3.74,4
"29",1,780,3.22,2
"30",0,520,3.29,1
"31",0,540,3.78,4
"32",0,760,3.35,3
"33",0,600,3.4,3
"34",1,800,4,3
"35",0,360,3.14,1
"36",0,400,3.05,2
"37",0,580,3.25,1
"38",0,520,2.9,3
"39",1,500,3.13,2
"40",1,520,2.68,3
"41",0,560,2.42,2
"42",1,580,3.32,2
"43",1,600,3.15,2
"44",0,500,3.31,3
"45",0,700,2.94,2
"46",1,460,3.45,3
"47",1,580,3.46,2
"48",0,500,2.97,4
"49",0,440,2.48,4
"50",0,400,3.35,3
"51",0,640,3.86,3
"52",0,440,3.13,4
"53",0,740,3.37,4
"54",1,680,3.27,2
"55",0,660,3.34,3
"56",1,740,4,3
"57",0,560,3.19,3
"58",0,380,2.94,3
"59",0,400,3.65,2
"60",0,600,2.82,4
"61",1,620,3.18,2
"62",0,560,3.32,4
"63",0,640,3.67,3
"64",1,680,3.85,3
"65",0,580,4,3
"66",0,600,3.59,2
"67",0,740,3.62,4
"68",0,620,3.3,1
"69",0,580,3.69,1
"70",0,800,3.73,1
"71",0,640,4,3
"72",0,300,2.92,4
"73",0,480,3.39,4
"74",0,580,4,2
"75",0,720,3.45,4
"76",0,720,4,3
"77",0,560,3.36,3
"78",1,800,4,3
"79",0,540,3.12,1
"80",1,620,4,1
"81",0,700,2.9,4
"82",0,620,3.07,2
"83",0,500,2.71,2
"84",0,380,2.91,4
"85",1,500,3.6,3
"86",0,520,2.98,2
"87",0,600,3.32,2
"88",0,600,3.48,2
"89",0,700,3.28,1
"90",1,660,4,2
"91",0,700,3.83,2
"92",1,720,3.64,1
"93",0,800,3.9,2
"94",0,580,2.93,2
"95",1,660,3.44,2
"96",0,660,3.33,2
"97",0,640,3.52,4
"98",0,480,3.57,2
"99",0,700,2.88,2
"100",0,400,3.31,3
"101",0,340,3.15,3
"102",0,580,3.57,3
"103",0,380,3.33,4
"104",0,540,3.94,3
"105",1,660,3.95,2
"106",1,740,2.97,2
"107",1,700,3.56,1
"108",0,480,3.13,2
"109",0,400,2.93,3
"110",0,480,3.45,2
"111",0,680,3.08,4
"112",0,420,3.41,4
"113",0,360,3,3
"114",0,600,3.22,1
"115",0,720,3.84,3
"116",0,620,3.99,3
"117",1,440,3.45,2
"118",0,700,3.72,2
"119",1,800,3.7,1
"120",0,340,2.92,3
"121",1,520,3.74,2
"122",1,480,2.67,2
"123",0,520,2.85,3
"124",0,500,2.98,3
"125",0,720,3.88,3
"126",0,540,3.38,4
"127",1,600,3.54,1
"128",0,740,3.74,4
"129",0,540,3.19,2
"130",0,460,3.15,4
"131",1,620,3.17,2
"132",0,640,2.79,2
"133",0,580,3.4,2
"134",0,500,3.08,3
"135",0,560,2.95,2
"136",0,500,3.57,3
"137",0,560,3.33,4
"138",0,700,4,3
"139",0,620,3.4,2
"140",1,600,3.58,1
"141",0,640,3.93,2
"142",1,700,3.52,4
"143",0,620,3.94,4
"144",0,580,3.4,3
"145",0,580,3.4,4
"146",0,380,3.43,3
"147",0,480,3.4,2
"148",0,560,2.71,3
"149",1,480,2.91,1
"150",0,740,3.31,1
"151",1,800,3.74,1
"152",0,400,3.38,2
