"case";"bar";"smile";"beer"
1;"a       ";9;1
2;"a       ";11;2
3;"a       ";12;2
4;"b       ";13;2
5;"b       ";11;2
6;"b       ";9;1
7;"b       ";11;3
8;"b       ";9;2
9;"b       ";10;1
10;"b       ";9;2
11;"b       ";10;0
12;"b       ";12;3
13;"b       ";10;3
14;"b       ";12;2
15;"b       ";9;1
16;"b       ";11;3
17;"b       ";13;3
18;"c       ";8;1
19;"c       ";10;2
20;"c       ";10;2
21;"c       ";8;2
22;"c       ";11;4
23;"c       ";11;1
24;"c       ";10;1
25;"c       ";11;3
26;"c       ";10;2
27;"c       ";12;3
28;"c       ";13;3
29;"c       ";10;1
30;"c       ";10;1
31;"c       ";9;2
32;"c       ";9;2
33;"c       ";11;1
34;"c       ";11;1
35;"c       ";10;3
36;"c       ";10;1
37;"c       ";10;2
38;"c       ";9;2
39;"c       ";9;3
40;"d       ";10;2
41;"d       ";10;2
42;"d       ";11;3
43;"d       ";10;4
44;"d       ";9;2
45;"d       ";9;3
46;"d       ";8;3
47;"d       ";9;1
48;"d       ";8;0
49;"d       ";8;2
50;"d       ";10;3
51;"d       ";11;4
52;"d       ";8;2
53;"d       ";11;2
54;"d       ";11;2
55;"d       ";9;3
56;"d       ";8;2
57;"d       ";9;2
58;"d       ";9;0
59;"d       ";8;1
60;"d       ";9;3
61;"e       ";8;3
62;"e       ";7;5
63;"e       ";9;3
64;"e       ";9;2
65;"e       ";10;5
66;"e       ";9;1
67;"e       ";8;2
68;"e       ";9;3
69;"e       ";8;3
70;"e       ";10;3
71;"e       ";9;3
72;"e       ";9;3
73;"e       ";10;3
74;"e       ";9;3
75;"f       ";8;3
76;"f       ";10;4
77;"f       ";8;4
78;"f       ";8;3
79;"f       ";8;4
80;"f       ";11;5
81;"f       ";10;4
82;"f       ";7;2
83;"f       ";8;2
84;"f       ";10;3
85;"f       ";6;3
86;"f       ";10;4
87;"f       ";8;3
88;"f       ";10;3
89;"f       ";7;1
90;"f       ";8;2
91;"f       ";8;2
92;"f       ";8;3
93;"f       ";9;3
94;"f       ";8;2
95;"g       ";7;2
96;"g       ";5;1
97;"g       ";8;4
98;"g       ";5;4
99;"g       ";8;3
100;"g       ";8;2
101;"g       ";7;3
102;"g       ";9;3
103;"g       ";9;6
104;"g       ";7;2
105;"g       ";7;3
106;"g       ";9;4
107;"g       ";10;4
108;"g       ";7;2
109;"g       ";8;2
110;"g       ";6;3
111;"g       ";8;4
112;"g       ";8;3
113;"g       ";10;3
114;"g       ";7;4
115;"g       ";9;4
116;"g       ";8;4
117;"g       ";10;3
118;"g       ";9;4
119;"h       ";8;4
120;"h       ";8;3
121;"h       ";8;3
122;"h       ";7;3
123;"h       ";7;3
124;"h       ";7;4
125;"h       ";8;6
126;"h       ";7;2
127;"h       ";6;4
128;"h       ";9;5
129;"h       ";7;3
130;"h       ";6;3
131;"i       ";6;4
132;"i       ";8;4
133;"i       ";7;4
134;"i       ";9;4
135;"i       ";7;3
136;"i       ";10;3
137;"i       ";5;2
138;"i       ";6;3
139;"i       ";7;3
140;"i       ";6;4
141;"i       ";6;3
142;"i       ";9;5
143;"i       ";8;3
144;"i       ";7;3
145;"i       ";5;3
146;"i       ";7;4
147;"l       ";5;3
148;"l       ";7;4
149;"l       ";7;4
150;"l       ";6;3
151;"l       ";7;4
152;"l       ";6;3
153;"l       ";5;3
154;"l       ";4;4
155;"l       ";4;3
156;"l       ";7;4
157;"l       ";6;3
158;"l       ";8;7
159;"l       ";7;3
160;"l       ";4;4
161;"l       ";4;3
162;"l       ";8;6
163;"l       ";7;3
164;"l       ";5;4
165;"l       ";7;5
166;"l       ";6;3
167;"l       ";7;4
168;"l       ";9;6
169;"m       ";5;4
170;"m       ";5;5
171;"m       ";6;4
172;"m       ";6;4
173;"m       ";9;6
174;"m       ";6;3
175;"m       ";6;5
176;"m       ";5;4
177;"m       ";6;4
178;"m       ";7;4
179;"m       ";5;4
180;"m       ";6;6
181;"m       ";4;4
182;"m       ";4;3
183;"m       ";6;6
184;"m       ";8;5
185;"m       ";6;5
186;"m       ";8;5
187;"m       ";6;3
188;"m       ";5;4
189;"m       ";5;5
190;"n       ";2;4
191;"n       ";5;6
192;"n       ";4;3
193;"n       ";6;4
194;"n       ";5;6
195;"n       ";7;4
196;"n       ";6;4
197;"n       ";4;3
198;"n       ";4;3
199;"n       ";6;6
200;"n       ";7;4
201;"n       ";8;5
202;"n       ";5;5
203;"n       ";6;5
204;"n       ";6;4
205;"o       ";6;6
206;"o       ";8;6
207;"o       ";8;6
208;"o       ";10;7
209;"o       ";8;6
210;"o       ";5;6
211;"o       ";8;7
212;"o       ";9;6
213;"o       ";8;5
214;"o       ";2;4
215;"o       ";6;5
216;"o       ";8;6
217;"o       ";5;5
218;"o       ";7;6
219;"o       ";6;5
220;"o       ";8;7
221;"p       ";4;6
222;"p       ";5;5
223;"p       ";5;5
224;"p       ";6;6
225;"p       ";6;5
226;"p       ";3;5
227;"p       ";5;6
228;"p       ";6;5
229;"p       ";5;3
230;"p       ";6;5
231;"p       ";7;7
232;"q       ";8;7
233;"q       ";10;8
234;"q       ";6;6
