subj,time,group,dv
1,0,1.00,296.00
1,1,1.00,175.00
1,3,1.00,187.00
1,6,1.00,192.00
2,0,1.00,376.00
2,1,1.00,329.00
2,3,1.00,236.00
2,6,1.00,76.00
3,0,1.00,309.00
3,1,1.00,238.00
3,3,1.00,150.00
3,6,1.00,123.00
4,0,1.00,222.00
4,1,1.00,60.00
4,3,1.00,82.00
4,6,1.00,85.00
5,0,1.00,150.00
5,1,1.00,271.00
5,3,1.00,250.00
5,6,1.00,216.00
6,0,1.00,316.00
6,1,1.00,291.00
6,3,1.00,238.00
6,6,1.00,144.00
7,0,1.00,321.00
7,1,1.00,364.00
7,3,1.00,270.00
7,6,1.00,308.00
8,0,1.00,447.00
8,1,1.00,402.00
8,3,1.00,294.00
8,6,1.00,216.00
9,0,1.00,220.00
9,1,1.00,70.00
9,3,1.00,95.00
9,6,1.00,87.00
10,0,1.00,375.00
10,1,1.00,335.00
10,3,1.00,334.00
10,6,1.00,79.00
11,0,1.00,310.00
11,1,1.00,300.00
11,3,1.00,253.00
11,6,1.00,140.00
12,0,1.00,310.00
12,1,1.00,245.00
12,3,1.00,200.00
12,6,1.00,120.00
13,0,2.00,282.00
13,1,2.00,186.00
13,3,2.00,225.00
13,6,2.00,134.00
14,0,2.00,317.00
14,1,2.00,31.00
14,3,2.00,85.00
14,6,2.00,120.00
15,0,2.00,362.00
15,1,2.00,104.00
15,3,2.00,144.00
15,6,2.00,114.00
16,0,2.00,338.00
16,1,2.00,132.00
16,3,2.00,91.00
16,6,2.00,77.00
17,0,2.00,263.00
17,1,2.00,94.00
17,3,2.00,141.00
17,6,2.00,142.00
18,0,2.00,138.00
18,1,2.00,38.00
18,3,2.00,16.00
18,6,2.00,95.00
19,0,2.00,329.00
19,1,2.00,62.00
19,3,2.00,62.00
19,6,2.00,6.00
20,0,2.00,292.00
20,1,2.00,139.00
20,3,2.00,104.00
20,6,2.00,184.00
21,0,2.00,275.00
21,1,2.00,94.00
21,3,2.00,135.00
21,6,2.00,137.00
22,0,2.00,150.00
22,1,2.00,48.00
22,3,2.00,20.00
22,6,2.00,85.00
23,0,2.00,319.00
23,1,2.00,68.00
23,3,2.00,67.00
23,6,2.00,12.00
24,0,2.00,300.00
24,1,2.00,138.00
24,3,2.00,114.00
24,6,2.00,174.00
