Group;Score
3;0.12
4;0.8
1;-0.27
3;1.04
4;-0.19
1;0.5
2;-0.62
3;1.2
1;-0.46
4;0.77
4;-0.08
3;0.23
2;0.19
3;0.03
1;0.04
3;-0.04
4;0.85
4;-0.27
2;-0.23
1;0.35
2;-0.27
2;-0.19
3;0.07
4;1.04
4;0.35
4;0.19
1;-0.27
4;1.46
1;-0.15
1;-0.65
1;0.15
1;0.19
3;0.38
1;-0.35
3;0.77
3;0.19
3;-0.19
3;-1.81
1;-0.5
1;0.16
2;0.08
3;0.34
4;-0.12
2;-0.61
2;-0.65
1;0
2;0.23
1;-0.15
3;0.39
3;1.38
2;0.81
3;0.31
1;0.34
3;0.61
2;0.19
3;0.54
1;0.08
3;0.58
4;0.5
3;0.85
2;-0.3
1;-0.15
4;0.12
4;0.38
4;0.46
3;1.15
1;0.16
2;0.24
2;0.38
4;0.7
2;-0.85
1;-0.12
3;0
3;-0.39
3;1.27
4;-0.5
4;0.73
3;0.08
1;0.08
4;-0.35
3;-0.69
1;0.23
4;0.11
1;-0.27
2;-0.03
1;0.62
1;-0.07
2;0.07
3;-0.53
2;0.04
1;0.19
1;-0.84
4;0.57
1;-0.16
1;-0.3
2;-0.04
4;1
2;0.08
4;0.04
4;2.11
4;0.5
1;0.12
2;0.12
2;-0.27
4;0.61
1;0.39
3;0.5
3;0.96
4;1.54
4;-0.81
1;0.77
1;-0.04
3;0.46
2;-0.2
2;-0.42
4;0.81
2;-0.08
4;0.88
2;-0.08
4;0.27
4;0.57
3;0
3;0.39
4;-0.23
1;-0.34
3;0.23
3;0
4;0.5
4;1
2;-0.81
3;-0.23
3;0.15
4;0.85
1;1.23
3;0.27
4;-0.5
2;-0.38
2;-0.15
4;0.27
1;-0.23
3;0.24
4;1.62
3;-0.46
4;-0.23
4;0.58
2;-0.15
3;0.58
1;-0.27
2;0.34
4;1.08
1;-0.07
3;-0.08
1;-0.27
2;0.5
4;0.15
1;-0.31
3;-0.35
3;0.27
4;-0.15
3;0.43
2;-0.35
2;0.54
3;0.15
1;0.74
1;-0.19
1;0.16
2;-0.96
1;0.35
4;0.39
2;0.57
