"";"y";"x1";"x2";"i";"cluster"
"1";1;0,434;-0,352;1;"1"
"2";0;-2,308;1,825;1;"1"
"3";0;0,425;-0,562;1;"1"
"4";1;2,363;1,362;1;"1"
"5";0;1,106;-1,769;1;"1"
"6";0;0,102;-2,071;1;"1"
"7";0;-1,139;-1,287;1;"1"
"8";0;-0,899;0,341;1;"1"
"9";1;0,763;0,425;1;"1"
"10";0;-1,028;-0,682;1;"1"
"11";1;2,43;-0,377;1;"1"
"12";1;-0,647;1,86;1;"1"
"13";1;-1,26;1,47;1;"1"
"14";1;0,098;-0,218;1;"1"
"15";1;-0,292;1,082;1;"1"
"16";1;1,972;0,642;1;"1"
"17";0;-2,642;0,326;1;"1"
"18";1;-1,033;-1,079;1;"1"
"19";1;0,102;0,132;1;"1"
"20";0;-0,152;-1,081;1;"1"
"21";1;-0,145;1,041;1;"1"
"22";1;0,675;-0,222;1;"1"
"23";1;-1,043;1,438;1;"1"
"24";1;-1,701;1,399;1;"1"
"25";1;0,972;1,407;1;"1"
"26";1;0,859;1,041;1;"1"
"27";0;0,21;1,002;1;"1"
"28";1;-1,105;-0,36;1;"1"
"29";1;0,766;1,808;1;"1"
"30";0;-0,195;-2,334;1;"1"
"31";1;-1,017;1,019;1;"1"
"32";0;-2,097;-0,889;1;"1"
"33";0;-0,231;-1,087;1;"1"
"34";1;1,127;0,729;1;"1"
"35";1;-0,607;-1,059;1;"1"
"36";0;0,411;-1,865;1;"1"
"37";0;0,658;-1,901;1;"1"
"38";1;1,226;-0,099;1;"1"
"39";0;0,143;-0,585;1;"1"
"40";1;1,391;0,756;1;"1"
"41";1;0,459;0,427;1;"1"
"42";0;-0,566;-0,364;1;"1"
"43";0;-0,819;-1,5;1;"1"
"44";0;-2,286;0,299;1;"1"
"45";0;0,698;-1,271;1;"1"
"46";1;-1,188;1,906;1;"1"
"47";1;0,703;-1,493;1;"1"
"48";0;1,266;-0,941;1;"1"
"49";1;1,068;0,06;1;"1"
"50";1;-0,391;0,805;1;"1"
"51";0;0,905;-0,604;1;"1"
"52";1;-0,375;1,179;1;"1"
"53";0;-0,938;-0,877;1;"1"
"54";1;-0,259;0,047;1;"1"
"55";1;-0,067;1,65;1;"1"
"56";0;0,383;-2,319;1;"1"
"57";1;-0,199;2,477;1;"1"
"58";1;-0,373;-0,496;1;"1"
"59";1;1,41;0,26;1;"1"
"60";0;-0,621;0,75;1;"1"
"61";0;0,652;-0,577;1;"1"
"62";1;0,157;0,226;1;"1"
"63";0;-0,853;0,82;1;"1"
"64";0;-1,261;0,247;1;"1"
"65";1;-0,71;-0,083;1;"1"
"66";0;0,19;-1,384;1;"1"
"67";0;0,376;-1,385;1;"1"
"68";1;1,583;0,165;1;"1"
"69";0;-2,275;0,807;2;"2"
"70";1;0,408;0,469;2;"2"
"71";1;0,651;2,319;2;"2"
"72";0;-1,056;-0,183;2;"2"
"73";0;-1,041;-1,619;2;"2"
"74";1;-1,796;-1,255;2;"2"
"75";1;-1,16;0,33;2;"2"
"76";1;0,18;-0,031;2;"2"
"77";0;0,296;1,386;2;"2"
"78";1;0,296;0,256;2;"2"
"79";1;0,974;1,594;2;"2"
"80";1;-0,328;-0,965;2;"2"
"81";0;-1,279;-0,071;2;"2"
"82";1;1,479;0,554;2;"2"
"83";1;0,068;-0,504;2;"2"
"84";1;0,363;0,628;2;"2"
"85";1;-0,343;-0,304;2;"2"
"86";0;-0,438;0,483;2;"2"
"87";0;-1,183;2,361;2;"2"
