"id";"performance";"hours";"type"
"1";37;5;"P"
"2";32;5;"A"
"3";42;8;"P"
"4";35;8;"A"
"5";49;11;"P"
"6";38;8;"A"
"7";48;11;"P"
"8";38;5;"A"
"9";40;5;"P"
"10";41;11;"A"
"11";42;11;"P"
"12";22;2;"A"
"13";28;5;"P"
"14";43;11;"A"
"15";36;8;"P"
"16";43;14;"A"
"17";41;8;"P"
"18";33;5;"A"
"19";34;5;"P"
"20";47;8;"A"
"21";34;8;"P"
"22";33;8;"A"
"23";42;14;"P"
"24";43;8;"A"
"25";37;5;"P"
"26";43;11;"A"
"27";34;5;"P"
"28";30;5;"A"
"29";44;8;"P"
"30";23;2;"A"
"31";43;11;"P"
"32";46;8;"A"
"33";37;5;"P"
"34";33;5;"A"
"35";37;5;"P"
"36";37;8;"A"
"37";42;8;"P"
"38";42;8;"A"
"39";22;0;"P"
"40";42;11;"A"
"41";40;14;"P"
"42";39;11;"A"
"43";42;8;"P"
"44";40;8;"A"
"45";41;5;"P"
"46";36;11;"A"
"47";49;11;"P"
"48";40;8;"A"
"49";41;5;"P"
"50";15;2;"A"
"51";35;2;"P"
"52";34;8;"A"
"53";40;5;"P"
"54";44;5;"A"
"55";23;2;"P"
"56";36;14;"A"
"57";33;8;"P"
"58";47;8;"A"
"59";37;8;"P"
"60";26;14;"A"
"61";35;11;"P"
"62";39;8;"A"
"63";41;5;"P"
"64";42;8;"A"
"65";40;5;"P"
"66";37;8;"A"
"67";47;11;"P"
"68";30;5;"A"
"69";24;2;"P"
"70";47;11;"A"
"71";30;5;"P"
"72";35;5;"A"
"73";48;11;"P"
"74";38;11;"A"
"75";29;8;"P"
"76";31;8;"A"
"77";33;2;"P"
"78";40;8;"A"
"79";44;11;"P"
"80";37;5;"A"
"81";45;11;"P"
"82";32;5;"A"
"83";35;8;"P"
"84";40;8;"A"
"85";52;11;"P"
"86";47;11;"A"
"87";40;5;"P"
"88";37;8;"A"
"89";37;8;"P"
"90";43;11;"A"
"91";32;2;"P"
"92";21;2;"A"
"93";53;14;"P"
"94";43;8;"A"
"95";42;8;"P"
"96";41;8;"A"
"97";32;8;"P"
"98";46;11;"A"
"99";37;5;"P"
"100";35.001;11.001;"A"
