subj,y,cond,timebin
1,36.2709680855485,2,0.1
1,36.5560525220584,2,0.2
1,36.2582130390867,2,0.3
1,36.0555949346868,2,0.4
1,36.3870868854333,2,0.5
1,36.3394896753525,2,0.6
1,36.6789841887952,2,0.7
1,36.4693511430442,2,0.8
1,36.0691265703694,2,0.9
1,36.5340996877681,2,1
1,36.342753489386,2,1.1
1,35.8266069168646,2,1.2
1,36.3834353396215,2,1.3
1,36.2496745925934,2,1.4
1,36.6229266297498,2,1.5
1,36.4946734443191,2,1.6
1,35.8944338032085,2,1.7
1,36.2386985684523,2,1.8
1,35.9384635390712,2,1.9
1,36.4942562537454,2,2
1,36.3493404790092,2,2.1
1,36.4113014423733,2,2.2
1,36.2794045307327,2,2.3
1,36.1588453332709,2,2.4
1,36.2866918222326,2,2.5
1,36.4879968955237,2,2.6
1,36.3127177634107,2,2.7
1,36.2211825135637,2,2.8
1,36.1203790675846,2,2.9
1,35.7890456914041,2,3
1,36.5122398596177,2,3.1
1,36.2552315532999,2,3.2
1,36.5727721938321,2,3.3
1,36.027596583999,2,3.4
1,36.1807753713757,2,3.5
1,36.0369760849982,2,3.6
1,36.0294900205691,2,3.7
1,36.6086999338512,2,3.8
1,36.4299644138723,2,3.9
1,36.4822759177523,2,4
1,36.3848029656971,2,4.1
1,36.2030576812885,2,4.2
1,36.4110502343422,2,4.3
1,36.2185123728369,2,4.4
1,36.1177697951716,2,4.5
1,36.3893450852167,2,4.6
1,36.5073573893744,2,4.7
1,35.885670707904,2,4.8
1,36.3746519889584,2,4.9
1,36.0027711615816,2,5
1,36.0316174908877,2,5.1
1,35.9450034982897,2,5.2
1,35.9216507866688,2,5.3
1,36.3004010051707,2,5.4
1,36.0889523159322,2,5.5
1,35.9033413840515,2,5.6
1,36.4310890770834,2,5.7
1,35.9411283165701,2,5.8
1,36.0519609579733,2,5.9
1,36.1184446480248,2,6
1,35.6485665566268,2,6.1
1,35.8628792235535,2,6.2
1,35.8921371051429,2,6.3
1,36.242289460188,2,6.4
1,36.183246319261,2,6.5
1,35.588200277629,2,6.6
1,36.0460554733044,2,6.7
1,36.2926924463655,2,6.8
1,36.3728213269706,2,6.9
1,36.3806592663819,2,7
2,36.4379022056376,2,0.1
2,36.3022354759544,2,0.2
2,36.5106499108474,2,0.3
2,36.5314414336087,2,0.4
2,35.8342370467994,2,0.5
2,36.1665017098971,2,0.6
2,36.5822369675092,2,0.7
2,36.43665649981,2,0.8
2,36.2703934918749,2,0.9
2,36.2017587787833,2,1
2,36.6464356004302,2,1.1
2,36.3779305041135,2,1.2
2,36.2424254767757,2,1.3
2,36.4953711632985,2,1.4
2,36.3089398663137,2,1.5
2,36.5345743388549,2,1.6
2,36.0441241695823,2,1.7
2,36.0629931209088,2,1.8
2,36.6880520675185,2,1.9
2,36.1492430631705,2,2
2,36.4133877505014,2,2.1
2,36.5497230270865,2,2.2
2,36.07170269853,2,2.3
2,35.8967203388138,2,2.4
2,36.1551251649111,2,2.5
2,35.8185519350607,2,2.6
2,36.1400773463246,2,2.7
2,35.8998681880808,2,2.8
2,36.4216173722926,2,2.9
2,36.0359068737551,2,3
2,36.1463309971862,2,3.1
2,35.7125755868603,2,3.2
2,35.8053184827058,2,3.3
2,36.0034059332676,2,3.4
2,36.039710389883,2,3.5
2,35.8774061288903,2,3.6
2,36.1388897318138,2,3.7
2,36.2359677034043,2,3.8
2,35.9967783874747,2,3.9
2,35.7150092002436,2,4
2,36.0119577375948,2,4.1
2,36.011252043726,2,4.2
2,36.5062889259102,2,4.3
2,36.1142579913761,2,4.4
2,36.1438499071071,2,4.5
2,36.3655654857716,2,4.6
2,36.125208234059,2,4.7
2,35.989940499834,2,4.8
2,36.1161588975114,2,4.9
2,35.9535263993373,2,5
2,36.1899398654562,2,5.1
2,36.1636622078315,2,5.2
2,36.1910814078003,2,5.3
2,35.9579387808203,2,5.4
2,35.8286689219341,2,5.5
2,36.1932686163296,2,5.6
2,36.0905092079118,2,5.7
2,35.7437108822764,2,5.8
2,36.4223229513592,2,5.9
2,36.0798680784385,2,6
2,35.9151108188186,2,6.1
2,36.0438727649293,2,6.2
2,35.728238253711,2,6.3
2,36.3966348706702,2,6.4
2,35.5823078526249,2,6.5
2,36.0523040767916,2,6.6
2,35.9554317528874,2,6.7
2,35.8015826855773,2,6.8
2,35.8559271076902,2,6.9
2,36.3223935923506,2,7
3,36.1826101977407,2,0.1
3,36.5692234956804,2,0.2
3,36.2834683171645,2,0.3
3,36.060237141061,2,0.4
3,36.1828247366135,2,0.5
3,36.3936135189541,2,0.6
3,36.5944704271671,2,0.7
3,36.2901857109843,2,0.8
3,36.4812420173777,2,0.9
3,36.3108781616089,2,1
3,36.6774801390159,2,1.1
3,36.1431560458286,2,1.2
3,36.355892495123,2,1.3
3,36.2928430055288,2,1.4
3,36.6043990881156,2,1.5
3,36.1379726842177,2,1.6
3,36.5627225067163,2,1.7
3,36.1994613609557,2,1.8
3,36.9053468987505,2,1.9
3,36.2074559865336,2,2
3,36.4405066434808,2,2.1
3,36.2744909929824,2,2.2
3,36.1914463397652,2,2.3
3,36.0837517648633,2,2.4
3,36.310855310893,2,2.5
3,36.2118238823009,2,2.6
3,36.0538605764809,2,2.7
3,36.0577721002177,2,2.8
3,36.0625802484935,2,2.9
3,35.8983192247765,2,3
3,36.4853653169032,2,3.1
3,36.4367709652812,2,3.2
3,36.2770847173131,2,3.3
3,36.4443497223124,2,3.4
3,35.9902568187724,2,3.5
3,36.1281550286614,2,3.6
3,35.9865967077867,2,3.7
3,35.6905154600452,2,3.8
3,36.1134122619896,2,3.9
3,35.8381722947672,2,4
3,36.3680993422547,2,4.1
3,36.0797900697698,2,4.2
3,36.0824594323262,2,4.3
3,36.2918217390026,2,4.4
3,36.1111394693278,2,4.5
3,36.4160871457735,2,4.6
3,36.0237166969112,2,4.7
3,36.0159652888994,2,4.8
3,35.7999375630507,2,4.9
3,36.6040996100124,2,5
3,35.9252263138247,2,5.1
3,36.1396844356906,2,5.2
3,36.0375977173319,2,5.3
3,36.4266100558481,2,5.4
3,36.2946478454223,2,5.5
3,36.2139194807041,2,5.6
3,35.9149700115205,2,5.7
3,35.9047058425184,2,5.8
3,35.9267120254885,2,5.9
3,36.1317893636976,2,6
