"subj";"time";"group";"dv"
1;0;1;296.0
1;1;1;175.0
1;3;1;187.0
1;6;1;192.0
2;0;1;376.0
2;1;1;329.0
2;3;1;236.0
2;6;1;76.0
3;0;1;309.0
3;1;1;238.0
3;3;1;150.0
3;6;1;123.0
4;0;1;222.0
4;1;1;60.0
4;3;1;82.0
4;6;1;85.0
5;0;1;150.0
5;1;1;271.0
5;3;1;250.0
5;6;1;216.0
6;0;1;316.0
6;1;1;291.0
6;3;1;238.0
6;6;1;144.0
7;0;1;321.0
7;1;1;364.0
7;3;1;270.0
7;6;1;308.0
8;0;1;447.0
8;1;1;402.0
8;3;1;294.0
8;6;1;216.0
9;0;1;220.0
9;1;1;70.0
9;3;1;95.0
9;6;1;87.0
10;0;1;375.0
10;1;1;335.0
10;3;1;334.0
10;6;1;79.0
11;0;1;310.0
11;1;1;300.0
11;3;1;253.0
11;6;1;140.0
12;0;1;310.0
12;1;1;245.0
12;3;1;200.0
12;6;1;120.0
13;0;2;282.0
13;1;2;186.0
13;3;2;225.0
13;6;2;134.0
14;0;2;317.0
14;1;2;31.0
14;3;2;85.0
14;6;2;120.0
15;0;2;362.0
15;1;2;104.0
15;3;2;144.0
15;6;2;114.0
16;0;2;338.0
16;1;2;132.0
16;3;2;91.0
16;6;2;77.0
17;0;2;263.0
17;1;2;94.0
17;3;2;141.0
17;6;2;142.0
18;0;2;138.0
18;1;2;38.0
18;3;2;16.0
18;6;2;95.0
19;0;2;329.0
19;1;2;62.0
19;3;2;62.0
19;6;2;6.0
20;0;2;292.0
20;1;2;139.0
20;3;2;104.0
20;6;2;184.0
21;0;2;275.0
21;1;2;94.0
21;3;2;135.0
21;6;2;137.0
22;0;2;150.0
22;1;2;48.0
22;3;2;20.0
22;6;2;85.0
23;0;2;319.0
23;1;2;68.0
23;3;2;67.0
23;6;2;12.0
24;0;2;300.0
24;1;2;138.0
24;3;2;114.0
24;6;2;174.0
