"Subject","Gender","Region","Education","LDLF","LDHF","HDLF","HDHF"
1.0,"Female","North America","some",6.0,6.0,9.0,10.0
2.0,"Female","North America","advance",10.0,,10.0,10.0
3.0,"Female","Europe","college",5.0,10.0,10.0,10.0
4.0,"Female","North America","college",6.0,9.0,6.0,9.0
5.0,"Female","North America","some",3.0,6.5,5.5,8.5
6.0,"Female","Europe","some",2.0,0.5,7.5,3.0
7.0,"Female","North America","some",10.0,10.0,10.0,10.0
8.0,"Female","North America","high",10.0,10.0,9.0,10.0
9.0,"Female","North America","high",9.5,9.5,6.0,10.0
10.0,"Female","Other","high",8.5,10.0,7.0,
11.0,"Male","North America","some",0.0,2.5,0.0,0.0
12.0,"Male","North America","some",9.5,7.5,8.5,10.0
13.0,"Female","North America","less",7.0,8.5,6.5,8.5
14.0,"Female","North America","some",3.0,8.0,4.0,8.5
15.0,"Male","North America","some",4.0,5.0,6.0,7.0
16.0,"Male","North America","high",7.0,8.5,8.5,9.0
17.0,"Male","North America","some",2.0,6.0,10.0,10.0
18.0,"Female","North America","high",7.5,6.0,7.5,10.0
19.0,"Female","North America","some",6.5,6.0,10.0,10.0
20.0,"Female","North America","some",7.0,9.0,8.5,9.5
22.0,"Female","North America","some",3.0,4.5,5.0,9.5
23.0,"Female","Australia","some",2.5,9.5,4.5,7.5
24.0,"Female","North America","less",10.0,10.0,9.0,10.0
25.0,"Male","Europe","high",0.0,1.5,4.0,1.5
26.0,"Female","Europe","some",0.5,0.5,4.5,5.5
27.0,"Female","North America","less",5.0,7.5,3.5,10.0
29.0,"Female","Other","some",6.5,5.0,10.0,10.0
30.0,"Female","North America","some",8.0,9.0,8.0,8.0
31.0,"Female","North America","some",3.0,10.0,7.5,6.0
32.0,"Male","Europe","some",7.5,7.0,6.5,10.0
33.0,"Male","North America","some",6.5,10.0,10.0,4.0
34.0,"Male","Europe","college",4.5,8.5,8.5,6.0
35.0,"Male","North America","some",3.0,2.0,8.0,4.0
36.0,"Male","North America","some",6.0,10.0,2.0,4.5
37.0,"Female","North America","some",4.0,10.0,7.0,10.0
38.0,"Female","North America","some",4.5,7.0,10.0,10.0
39.0,"Male","North America","some",7.0,7.0,10.0,9.0
40.0,,,,8.0,8.5,8.0,9.5
41.0,"Female","North America","some",5.0,7.5,7.5,7.5
42.0,"Female","North America","high",5.0,8.5,,9.5
43.0,"Female","North America","some",2.0,2.0,0.0,5.5
45.0,"Male","North America","partial",7.5,7.0,6.5,8.0
46.0,"Female","North America","less",3.5,4.0,1.0,10.0
47.0,"Female","North America","advance",5.0,7.5,0.5,2.5
48.0,"Male","North America","some",2.0,3.5,9.5,5.5
49.0,"Male","North America","some",4.0,8.0,1.5,9.5
50.0,"Female","North America","some",5.0,6.0,4.5,3.5
51.0,"Female","North America","some",5.5,2.5,8.0,9.0
52.0,"Female","North America","less",10.0,10.0,10.0,10.0
53.0,"Female","North America","some",7.0,8.5,4.0,9.0
54.0,"Female","Other","some",5.5,10.0,6.0,10.0
56.0,"Female","North America","some",10.0,10.0,10.0,10.0
57.0,"Female","South America","some",9.5,10.0,10.0,10.0
58.0,"Male","North America","some",6.0,4.5,7.5,6.0
59.0,"Female","North America","less",7.5,6.5,10.0,8.5
60.0,"Male","North America","less",3.5,7.5,8.0,8.0
61.0,"Female","North America","college",2.5,7.5,5.0,7.5
62.0,"Male","North America","less",3.5,9.5,3.5,8.0
64.0,"Female","Europe","some",8.5,6.0,,5.0
65.0,"Female","North America","less",3.0,8.5,10.0,2.5
66.0,"Male","North America","less",6.0,10.0,3.0,8.5
67.0,"Male","North America","high",5.5,8.0,4.5,9.5
68.0,"Male","North America","high",3.0,8.0,10.0,7.0
69.0,"Male","North America","college",2.0,8.5,4.0,6.0
70.0,"Female","North America","less",4.0,9.0,2.5,10.0
71.0,"Female","North America","less",9.0,10.0,8.5,10.0
72.0,"Female","North America","some",10.0,10.0,10.0,10.0
73.0,"Female","North America","some",5.5,6.0,1.0,5.5
74.0,"Male","North America","less",6.0,8.5,8.5,9.0
76.0,"Female","North America","some",9.0,9.0,9.0,9.0
77.0,"Female","North America","some",6.0,6.0,7.5,6.0
78.0,"Female","North America","less",5.0,6.5,0.5,5.5
79.0,"Male","North America","less",6.0,8.0,9.0,7.0
80.0,"Female","North America","less",1.5,,9.0,9.5
81.0,"Male","North America","high",5.5,4.0,10.0,5.5
82.0,"Female","North America","high",9.5,9.5,9.5,8.5
83.0,"Female","North America","high",8.0,8.0,8.5,10.0
84.0,"Female","North America","some",0.0,5.0,0.0,5.0
85.0,"Female","North America","high",3.0,3.0,0.5,7.0
86.0,"Male","North America","less",7.0,7.0,8.5,7.5
87.0,"Female","North America","partial",5.0,4.0,3.5,5.5
88.0,"Female","North America","high",10.0,10.0,10.0,10.0
89.0,"Male","North America","less",7.5,8.0,9.5,10.0
90.0,"Male","North America","less",6.0,8.0,4.5,6.5
91.0,"Female","Other","some",7.0,7.5,8.5,8.0
92.0,"Female","Europe","less",6.5,9.5,4.0,8.5
93.0,"Female","North America","less",6.5,10.0,10.0,10.0
95.0,"Female","North America","less",3.0,4.0,2.0,2.0
96.0,"Male","North America","high",10.0,10.0,10.0,10.0
97.0,"Female","North America",,8.5,10.0,8.5,10.0
98.0,"Female","North America","some",1.5,10.0,8.5,10.0
99.0,"Female","North America","some",9.0,10.0,10.0,10.0
100.0,"Female","Europe","some",5.5,5.5,2.0,3.0
