"";"y";"x";"id";"ny";"nx";"nid"
"1";0;"-1";"1";0;1;1
"2";0;"-1";"2";0;1;2
"3";1;"-1";"3";1;1;3
"4";1;"-1";"4";1;1;4
"5";1;"-1";"5";1;1;5
"6";0;"-1";"6";0;1;6
"7";0;"-1";"7";0;1;7
"8";0;"-1";"8";0;1;8
"9";0;"-1";"9";0;1;9
"10";1;"-1";"10";1;1;10
"11";1;"-1";"11";1;1;11
"12";1;"-1";"12";1;1;12
"13";0;"1";"13";0;2;13
"14";0;"1";"14";0;2;14
"15";1;"1";"15";1;2;15
"16";1;"1";"16";1;2;16
"17";0;"1";"17";0;2;17
"18";0;"1";"18";0;2;18
"19";1;"1";"19";1;2;19
"20";1;"1";"20";1;2;20
"21";1;"1";"21";1;2;21
"22";1;"1";"22";1;2;22
"23";1;"1";"23";1;2;23
"24";0;"1";"24";0;2;24
"25";1;"1";"25";1;2;25
"26";1;"1";"26";1;2;26
"27";0;"1";"27";0;2;27
"28";1;"1";"28";1;2;28
"29";1;"1";"29";1;2;29
"30";1;"1";"30";1;2;30
"31";1;"1";"31";1;2;31
"32";1;"1";"32";1;2;32
"33";0;"1";"33";0;2;33
"34";1;"1";"34";1;2;34
"35";0;"1";"35";0;2;35
"36";1;"1";"36";1;2;36
"37";0;"1";"37";0;2;37
"38";1;"1";"38";1;2;38
"39";1;"1";"39";1;2;39
"40";1;"1";"40";1;2;40
